,outcome,distance,direction
0,1,0.4511627036930402,[0.45074588 0.86215822 0.23132522]
1,1,0.40664565503270955,[0.79381771 0.33519308 0.50744364]
2,1,1.8338065940113846,[ 0.72049435  0.64747197 -0.2483303 ]
3,0,2.4006686222705085,[-0.10477038 -0.61764483  0.77944726]
4,1,0.17698303716121996,[-0.30347766 -0.94423648 -0.12774495]
5,1,3.1722057754969892,[0.46963943 0.88207761 0.03711986]
6,1,2.9615920836796477,[-0.64149555  0.12143416  0.75745442]
7,1,2.5426189969812647,[0.7058892  0.54875047 0.4478765 ]
8,2,0.23588033615074505,[ 0.12609205  0.55202256 -0.82424019]
9,2,0.11251764466990104,[-0.63274888  0.59724818  0.49287267]
10,0,4.1706306484623,[-0.68840893 -0.12448041 -0.71456125]
11,1,1.9650157467095302,[-0.23167802 -0.88489135  0.40409479]
12,1,0.27648873703943594,[-0.88371873 -0.3616464  -0.2970742 ]
13,0,2.631192084450053,[ 0.83068162  0.45754997 -0.31720036]
14,2,0.48298853404197545,[ 0.39116853 -0.83604117  0.38473671]
15,1,0.6028408293708938,[-0.52909735  0.78571725 -0.32047527]
16,1,1.6046644701511412,[-0.3938993   0.71731131 -0.57472413]
17,2,1.061551220393835,[ 0.20159544 -0.27049476  0.94137764]
18,0,1.2183023545033442,[-0.42256115  0.27611176  0.86325221]
19,2,0.08186177969284557,[-0.79731888 -0.55241201 -0.24315342]
20,1,0.07496929041115723,[-0.87869026  0.1592249  -0.4500565 ]
21,0,3.4229122268122776,[ 0.40601545 -0.52354224  0.74903603]
22,0,1.9826424513339862,[ 0.20487519  0.35303726 -0.91290243]
23,1,0.4109055244797549,[-0.94690594  0.31772341  0.04920344]
24,0,0.8102325504494753,[ 0.99640282  0.00868161 -0.08429736]
25,1,0.09755203159955159,[-0.33234425  0.23974139 -0.91217946]
26,0,1.1005293466603463,[0.05278529 0.96497584 0.25697343]
27,0,0.6257757993355582,[ 0.58154163  0.63229538 -0.51187097]
28,1,0.8225016005920689,[-0.2061273  -0.88887806  0.40915441]
29,2,1.5114319506611846,[0.79874845 0.40718876 0.44294269]
30,2,1.3700118095276141,[-0.12100083  0.89347167  0.43251263]
31,1,0.5895061272252512,[ 0.29981991 -0.93971315 -0.16446042]
32,0,0.8121138896665483,[-0.37124963  0.46259732 -0.80509467]
33,1,4.242553829759994,[-0.91686649  0.39133216  0.0788351 ]
34,0,1.51417124228748,[-0.96698634 -0.12933123  0.21956972]
35,1,0.3967357099460124,[-0.81910622 -0.51851462  0.24537234]
36,0,0.7885716836384782,[0.1707258  0.98005234 0.10173547]
37,1,2.6958602974390335,[0.84382321 0.20933772 0.49410537]
38,2,1.1156634877097675,[ 0.3088505  -0.94028814  0.14307191]
39,1,6.254376724776836,[-0.06821825 -0.7059636   0.70495508]
40,1,0.9833831693086525,[-0.74359346 -0.30072706  0.59718674]
41,1,4.852084684430512,[-0.34935738 -0.70083155  0.62192006]
42,1,2.359553306523872,[-0.94920532  0.16988408 -0.26485592]
43,2,0.05497186041476128,[-0.1294105  -0.96006169  0.24806144]
44,2,0.13184109148837092,[ 0.29785873  0.7649229  -0.5711157 ]
45,2,2.6323382578850927,[ 0.95322947 -0.03177281  0.30057289]
46,0,4.931264350365973,[ 0.03238489 -0.97832551  0.20452483]
47,1,0.6253831182443504,[-0.55882801  0.81958076 -0.12648572]
48,2,1.732547784136642,[-0.49775729 -0.36938556  0.78472415]
49,2,3.42143116462937,[-0.1864348  -0.90725199 -0.37700915]
50,1,3.5351787235000325,[0.61276589 0.78680075 0.073909  ]
51,1,1.1671273740905646,[ 0.44157308  0.85747852 -0.26409051]
52,1,1.9414814856908675,[-0.22385273 -0.21379618 -0.9508844 ]
53,1,3.0891500389221918,[ 0.46626954 -0.72158889  0.5117638 ]
54,2,3.3631154702428048,[0.79440272 0.43796095 0.42084977]
55,0,2.3341229077682426,[-0.38491941 -0.89977339 -0.20553566]
56,0,0.4930068473140642,[0.28968464 0.79050794 0.53961098]
57,1,5.681049798121108,[-0.13223899  0.98981909  0.05264048]
58,2,1.316896406317814,[ 0.17201436  0.69278429 -0.7003292 ]
59,1,1.558075832238297,[ 0.02076216 -0.80196427 -0.59701109]
60,2,1.9418015810531493,[ 0.74034708  0.6587556  -0.13389274]
61,1,3.3411508697097934,[-0.97990887 -0.19140315 -0.05606643]
62,1,0.5932142982384022,[-0.18296637  0.54665799 -0.81712199]
63,0,0.15228632790033458,[0.99619266 0.08381321 0.02399027]
64,1,5.761145571781587,[ 0.34889632 -0.3071164   0.88541001]
65,1,6.512341275702535,[ 0.04598366 -0.03363249 -0.99837586]
66,2,1.7047220151430793,[ 0.99986288 -0.0066469  -0.01516736]
67,1,2.870319053074557,[ 0.17228614  0.12538175 -0.97703475]
68,1,1.9607357422125513,[-0.48430675  0.82122079 -0.30173395]
69,1,0.7819294994446363,[-0.76391219  0.21705359  0.6077219 ]
70,1,0.1829226673233307,[-0.04031116 -0.96959738 -0.24136267]
71,1,1.6013068141752098,[ 0.08993456 -0.07230784  0.99331936]
72,1,1.971330902628291,[ 0.06149894 -0.36991338  0.92702857]
73,2,1.604818244885848,[-0.77490259 -0.09655648 -0.62466217]
74,2,0.285938976344097,[ 0.74430839 -0.66769886  0.0135375 ]
75,0,0.2958205312054913,[-0.7012882   0.21952601  0.67823535]
76,1,1.039955082977377,[ 0.57171346 -0.76743904 -0.29013968]
77,1,0.7762291350666053,[ 0.47546193 -0.60657554  0.63718292]
78,1,3.996334088820631,[-0.76235053 -0.62667363 -0.16156063]
79,2,2.825335980581665,[-0.95646422  0.11274472  0.26919291]
80,1,1.6744213360841866,[ 0.32165112 -0.87405258  0.36410525]
81,1,1.2448798018010885,[-0.36063317 -0.07757371  0.92947621]
82,1,1.973619604644005,[-0.25462134  0.92835384 -0.2707898 ]
83,1,0.8318137116597293,[ 0.20339711  0.39977799 -0.89376013]
84,1,1.9462872965510563,[-0.2823072   0.67324988  0.68340124]
85,2,0.975337081728725,[-0.23722504 -0.78002606  0.57903681]
86,1,0.42129584684995525,[ 0.8130085  -0.32503842 -0.48308095]
87,2,2.7022965474487712,[ 0.56589504 -0.82376469  0.03427153]
88,1,0.04348229224809453,[0.18257948 0.9339242  0.30732772]
89,1,1.3447644054705505,[-0.29436685 -0.95475269  0.04237278]
90,1,1.9029351313353795,[-0.02457535 -0.75044997 -0.66047021]
91,1,0.7934793179953928,[ 0.92773189  0.27871678 -0.24825491]
92,2,1.1762640755787608,[0.01833859 0.98195841 0.18820566]
93,2,0.2674420722334597,[-0.94851439  0.06396186 -0.31020853]
94,1,0.10576081334995328,[-0.12195357  0.95360759 -0.27524516]
95,1,6.601575794005816,[-0.48898622  0.85409812 -0.17722551]
96,2,2.138808214333582,[0.79805843 0.44834107 0.40260778]
97,1,1.953325163040934,[ 0.94665405 -0.05283086 -0.31789151]
98,0,0.7916208296467773,[-0.7502345   0.1378418  -0.64664352]
99,1,2.1056914585468496,[0.96541283 0.25940627 0.02620038]
100,1,2.9173446523451094,[0.9082058  0.39829248 0.1285509 ]
101,2,0.51508341070441,[-0.27513669 -0.96029885 -0.04610768]
102,0,1.654268140552926,[-0.92490832 -0.34511202  0.15950641]
103,2,1.8393872712906636,[-0.27973757  0.39565263  0.87476048]
104,1,0.6880835176749164,[-0.70316994  0.66691582 -0.24652653]
105,2,0.6543432908240178,[ 0.32002681 -0.6691312  -0.6707058 ]
106,2,2.023756932498028,[-0.48463179 -0.86572606  0.12510158]
107,1,0.6946767470310286,[-0.69268379  0.38533701 -0.60967578]
108,2,0.8459719890425356,[ 0.87369284 -0.33653619  0.35128935]
109,2,9.064700471322233,[-0.524499   -0.14476937  0.83901289]
110,0,1.527896122957069,[-0.74568554  0.60927517  0.26969768]
111,1,1.4950587824378971,[ 0.9066553   0.03308549 -0.42057284]
112,0,0.32966213544388273,[-0.06470383  0.17917992 -0.98168629]
113,1,0.4069884515095208,[ 0.0516475   0.9984266  -0.02183724]
114,2,0.38957221367559797,[0.39051498 0.46301026 0.7956881 ]
115,2,0.25720500834727844,[ 0.25369428 -0.10087983 -0.9620096 ]
